categoria,informacao
O que são lojas credenciadas para pagamento ?,São as lojas que você pode pagar a fatura do seu Mais! E não esqueça: pagando na loja você libera seu limite na hora ;)
Quanto tempo depois do pagamento meu limite é liberado? ,"Se você pagar sua fatura em uma de nossas lojas credenciadas para pagamento, o seu limite volta na hora! E se fizer o pagamento no banco ou lotéricas, ele será reconhecido em até três dias úteis."
Qual a melhor data para a compra ?,"No dia do fechamento da sua fatura, porque assim o valor dessa sua compra vem só na fatura do mês seguinte. Consulte seu melhor dia de compra no app Mais!. Se ainda não baixou, baixe agora na Google Play ou na App Store."
O que é crédito rotativo?,"Digamos que você tenha um imprevisto e não consiga pagar o valor total da fatura. Você consegue pagar outro valor entre o valor mínimo e o valor total, esse é o crédito rotativo. No app Mais! dá pra conferir as opções disponíveis pra você. Se ainda não baixou, baixe agora na Google Play ou na App Store."
"Não reconheço uma compra, e agora? ",Encontrou alguma compra não reconhecida na sua fatura? Fale com a Central de Relacionamento ou baixe a carta em nosso site.
O Mais tem anuidade?,"Sim. O Mais! tem uma anuidade diferenciada, a AD. Ela é cobrada mensalmente, sempre que houver movimentação na conta do cliente, pela disponibilização e utilização do cartão na rede de estabelecimentos afiliados. Tarifas"
Como funciona meu limite de crédito?,"Nada melhor do que um exemplo prático: digamos que seu limite seja R$ 500. Se você fizer uma compra no valor de R$ 50, seu limite passa a ser R$ 450. E assim por diante! Lembrando que se você pagar sua fatura no vencimento, seu limite volta a ser R$ 500."
Como eu consulto meu limite?,"Você pode consultar de 3 formas diferentes: pelo app Mais! ou por SMS. No app Mais! você também acompanha seus gastos em tempo real e descobre qual o melhor dia para compras. Se ainda não baixou, baixe agora na Google Play ou na App Store. Se quiser que a gente te mande o limite por mensagem, envie um SMS gratuitamente com as palavras LIMITE MAIS! para 28507."
Como meu limite de crédito é definido?,"Primeiro, realizamos a sua análise cadastral e creditícia. Depois, com base nelas, definimos um primeiro limite para o seu cartão. Esse é um procedimento padrão, mas não é algo definitivo. Se quiser, de 4 em 4 meses você pode solicitar um aumento de limite."
Como eu faço para aumentar meu limite?,"Você precisa conversar com a nossa Central de Relacionamento. Depois disso, a gente analisa seu pedido e te responde ? a resposta pode ser positiva ou negativa. Mas independentemente do resultado, você pode fazer uma nova solicitação a cada 4 meses."
Por que meu pedido de aumento foi negado? ,"O motivo de um aumento de limite não ser aprovado é nossa política de crédito. São as regras para cada cartão administrado pela Cred-System. Mas essa não é uma situação definitiva, você pode fazer uma nova solicitação em 4 meses."
Posso pedir um novo aumento de limite? ,Pode sim! A cada 4 meses dá pra pra fazer uma nova solicitação de aumento de limite.
Qual o valor máximo e mínimo que eu posso gastar no meu cartão mais? ,O valor máximo é o limite do seu cartão e não existe valor mínimo: você pode usar seu Mais! nas compras do dia a dia.
O que é a prataforma de benefícios do mais?,"A Você Pode Mais! é a plataforma de benefícios e vantagens oficial do Mais!. Com ela você tem acesso a descontos exclusivos em diversas lojas parceiras, ao comprar com o seu Cartão Mais!. Além disso, ao usar o seu Cartão ou Conta do Mais!, você concorre automaticamente a 2 casas no valor de R$170.000, 4 carros no valor de R$70.000 e sua fatura paga no valor de R$700! Você ainda tem chances de raspar e ganhar + de 30 prêmios NA HORA, todos os dias com o Raspe e Ganhe Mais!"
Como eu faço para participar dos sorteios? ,"Para participar do sorteio de 2 casas, 4 carros e 1 fatura paga por dia o ano todo, é muito simples. Basta usar o seu Cartão ou a sua Conta do Mais! para acumular números da sorte e concorrer. 1. A cada R$99,90 em compras com o Cartão Mais! no crédito ou no débito, você ganha um número da sorte. 2. Ganhe 3 números da sorte de cada prêmio para compras com o cartão Mais! no crédito ou no débito na loja emissora do mesmo.3. Ganhe 1 número da sorte a cada R$99,90 creditados na conta do Mais!."
Como eu faço para conferir os meu números da sorte? ,"• Pelo site do Mais!: Acesse o site www.cartaomais.com.br/numeros-sorte > Informe seu CPF, data de nascimento e telefone (opcional) e clique em “acessar sistema” • Pelo App Mais!: Clique no banner “Conheça a Você Pode Mais!” > “Números da sorte”"
Como eu vejo quem são os ganhadores? ,"• Pelo site do Mais!: Acesse o site www.cartaomais.com.br/premios > Role até o final da página, selecione o ano e o mês que deseja consultar. Ou procure direto por nome ou número da sorte. • Pelo App Mais!: Clique no banner “Conheça a Você Pode Mais!” > “Ganhadores”"
Quais são as formas de pagamentos dos prÊmios?,O valor do prêmio é pago em espécie para o ganhador. A central de atendimento vai entrar em contato para confirmação de dados e envio de documentos e o pagamento será feito em conta bancária escolhida pelo ganhador.
"Ganhei, e agora? ",A central de atendimento do Mais! entrará em contato com você para confirmar informações e solicitar alguns documentos para seguir com o pagamento do seu prêmio em até 15 dias úteis. Mas você também pode entrar em contato com a central de atendimento através dos telefones 4003-3900 para capitais ou 0800 729 3900 nas demais regiões para saber mais informações de como resgatar o seu prêmio.
Como eu faço pra participar do raspe e ganhe do mais? ,"Veja como é simples ganhar uma chance de raspar no Raspe e Ganhe Mais!: • A cada R$99,90 em compras com o Cartão Mais! no crédito ou no débito, você ganha uma chance de raspar. • A cada 10 compras de qualquer valor, com o Cartão Mais!, no crédito ou no débito você ganha uma chance de raspar. Depois, acesse o site do Raspe e Ganhe Mais! AQUI e informe os dados solicitados para raspar! São + de 30 prêmios NA HORA, todos os dias!"
Como eu resgato os prêmios do raspe e ganhe do mais? ,"Se você for um dos sortudos do Raspe e Ganhe Mais!, é só acessar o site do Raspe e Ganhe Mais! AQUI e clicar em ""meus prêmios"" para resgatar seu prêmio."
Quem pode participar da promoção? ,"Todos os clientes do Cartão Mais!, maiores de 18 anos, sem débitos ou atrasos."
Posso ganhar mais de uma vez? ,"Sim, tanto nos sorteios de casa, carro e fatura paga, quanto no Raspe e Ganhe Mais!."
O que são as parcerias?,"""Parcerias"" são empresas amigas do Mais! que trazem vantagens, ofertas e descontos exclusivos para as compras com o Cartão Mais!"
Como eu faço pra acessar os descontos que eu tenho direito?,"Com o seu Mais! você tem acesso a descontos exclusivos, basta acessar o site do Mais! AQUI pra conferir todas as lojas parceiras e os respectivos descontos que você pode aproveitar!"
O que é o portal da fatura? ,"O Portal da Fatura é o lugar que mostra sua fatura em detalhes. Nele você acessa todas as transações do seu Mais! pelo smartphone ou computador. Você pode consultar sua fatura, consultar seu histórico de compras."
Como eu faço para negociar minha dívida?,"A gente sabe que essas coisas acontecem e estamos aqui pra te ajudar. Pra facilitar, no site mesmo a gente já pode começar essa conversa."
O que é quitação anual de débitos?,É um documento que comprova que você não tem débitos relativos ao Mais! no ano anterior. Somente terão direito à declaração de quitação anual de débitos os consumidores que quitarem todos os débitos relativos ao ano anterior. Toda empresa é obrigada por lei a fornecer esse documento para os clientes. E o seu está aqui.
Posso pagar as contas do dia a dia com o Mais? ,"Sim! Dá pra pagar as contas de água, luz, celular, gás, telefone e TV a cabo em até 3x sem juros. O pagamento de contas está sujeito ao limite do disponível do seu cartão. Você consegue pagar até 6 contas por mês e 2 contas por dia, no valor máximo de R$500,00 por conta paga e mínimo de R$20,00 por pagamento. Tudo isso você resolve no app Mais!. Se ainda não baixou, baixe agora na Google Play ou na App Store."
Posso sacar dinheiro com o mais? ,"Sim! Você saca dinheiro com o Mais! em qualquer caixa eletrônico 24h*. Só preste atenção, porque o limite pra saque é separado do limite de compras, beleza? Você pode consultar todos esses valores no app Mais!."
Posso recarregar meu celular com o mais? ,"Sim! Não só o seu celular, como qualquer outro número que você queira. É fácil, gratuito e você resolve tudo pelo app Mais!. Se ainda não baixou, baixe agora na Google Play ou na App Store."
Os seguros do mais são obrigatórios?,"Não, eles são opcionais. Para contratar qualquer um deles, você precisa falar com nossa Central de Relacionamento ou em uma de nossas lojas parceiras."
Se eu Contratar um seguro a partir de quando ele começa a valer? ,A vigência do seu seguro ou assistência é condicionado ao primeiro pagamento. Inicia-se 24h do vencimento da sua fatura.
Como eu faço para aumentar meu limite?,"Você precisa conversar com a nossa Central de Relacionamento. Depois disso, a gente analisa seu pedido e te responde. A resposta pode ser positiva ou negativa. Mas independentemente do resultado, você pode fazer uma nova solicitação a cada 4 meses. (Link para central de relacionamento: https://www.cartaomais.com.br/tirar-duvidas##ajuda##)"
Quero Saber mais sobre seguros,"Na página Conheça os seguros, você encontra uma lista completa dos seguros e assistências oferecidos pelo Mais!. Cada um deles tem uma página própria com todas essas informações, além dos documentos relacionados. É só clicar!"
Para saber mais sobre tarifas,"Acesse o seguinte link para saber mais sobre tarifas: https://www.cartaomais.com.br/tarifas
"
"Quero saber mais sobre os seguros e assistências, como eu faço?","Na página Conheça os seguros, você encontra uma lista completa dos seguros e assistências oferecidos pelo Mais!. Cada um deles tem uma página própria com todas essas informações, além dos documentos relacionados. É só clicar!"
Pra onde eu ligo em caso de dúvidas com os seguros? ,Pra nossa Central de Seguros.
Como eu faço pra cancelar um seguro?,"Você pode cancelar ligando para a Central de Seguros. E claro: no que pudermos ajudar, conte com a gente ;)"
Quando eu recebo minha carteirinha do odonto cartão mais prodent? Posso ser aatendido pelo dentista sem ter uma carteirinha física? ,"Para ser atendido você não precisa da carteirinha física. Se fizer a contratação pela central de relacionamento, depois de alguns dias já poderá acessar sua carteirinha eletrônica (e-card). É bem fácil, é só fazer login na guia ?Associado? no site da Prodent - a carteirinha contém o e-código e também os e-cards de seus dependentes. E pra facilitar, você pode consultar essas informações com a Prodent, na Central de Atendimento do seu plano. É só ligar, informar seu CPF e sua data de nascimento (24h úteis após a adesão)."
Pagarei algum valor adicional pelos procedimentos cobertos pelo odonto mais? ,Não! Você paga só a mensalidade por beneficiário do plano. Em nenhum dos procedimentos cobertos pelo plano é cobrado um valor à parte.
Qual o período mínimo de permanência do odonto mais? ,"O contrato é de 12 (doze) meses e, caso queira realizar o cancelamento antes deste período, é importante saber que haverá cobrança de multa."
Como eu renovo meu seguro ou assistência do mais? ,"A renovação é automática, caso você não solicite o cancelamento em até 30 dias antes do término do contrato."
Como funciona o pagamento do seguro ou assistência do mais? ,A cobrança ocorre todo mês direto na fatura do Cartão Mais!.
Depois da contratação a partir de quando começa a valer?,A vigência do seu seguro ou assistência é condicionado ao primeiro pagamento. Inicia-se 24h do vencimento da sua fatura.
Pra onde eu ligo em caso de dúvidas com o seguro ou sinistro?,Para os seguros Zurich entre em contato com o Atendimento Zurich. Já para o Odonto Cartão Mais! entre em contato com a Sulamérica nos contatos disponíveis aqui e para o Mais! Saúde entre em contato com a Vale Saúde nos contatos disponíveis aqui.
O que é e como funciona o seguro pet?,O Seguro Pet é um Plano de Saúde para cães e gatos oferecido pela Petlove para os clientes do Mais!.
Quais pets podem ser segurados? ,"Os planos de saúde da Petlove estão disponíveis para Cães e Gatos sem distinção por idade, por raça, por porte ou por condição de saúde."
Posso cancelar o seguro pet quando quiser?,"Sim. O cancelamento pode ser feito a qualquer momento, diretamente no Espaço do Cliente?no site ou app da Petlove."
Como baixar o app do Mais?,"É só ir na Google Play ou na App Store, fazer uma busca por App Mais! e baixar. Não esqueça de ler o termo de uso e política de privacidade! É simples, gratuito e uma mão na roda pra te ajudar no dia a dia com seu cartão."
O que eu posso fazer no app do mais?,"Muita coisa! No app Mais! você consulta e resolve tudo o que precisa. Dá pra acompanhar a fatura e o seu limite, acessar uma lista com seu histórico de extratos, ver gráficos sobre seus gastos, descobrir o melhor dia de compra, conferir os números da sorte, além de ficar por dentro de todas as promoções e campanhas do Mais!. Se ainda não baixou, baixe agora na Google Play ou na App Store."
Como eu altero a senha do app do mais?,"Para alterar a senha é fácil. No seu App do Mais! , entre em ?Meu Cadastro? e, em seguida clique em ?Alterar minha senha?. Após isso, informe seu RG e data de nascimento que te enviaremos um código de validação via SMS. Incluindo este código você já consegue alterar sua senha."
Como eu faço pra alterar meu endereço ou telefone?,"Como essas são informações importantes e confidenciais, você precisa falar com a nossa Central de Relacionamento, beleza?"
Posso alterar meu nome no cartão?,Sim! Você pode alterar ligando na nossa Central de Relacionamento.
De quanto em quanto tempo meus dados são atualizados? ,"Sempre que seu número de telefone mudar, seu endereço residencial for alterado ou qualquer outra informação sua for alterada, nos avise! É importante você sempre manter seus dados atualizados para ficar mais fácil de a gente se falar quando precisarmos e para que você não deixe de receber nossas comunicações e faturas. ;)"
Como eu vejo os detalhes do mais empréstimo?,"Você encontra todos os detalhes do seu contrato em Informações do Empréstimo na aba do Mais! Empréstimo. Caso queira mais informações da sua contratação, acesse sua CCB."
O que é CCB? ,"CCB é a Cédula de Crédito Bancário, é o documento do seu Mais! Empréstimo, nela você encontra todos os detalhes e informações da sua contratação."
Em quanto tempo recebo o valor do mais empréstimo na minha conta? ,"Na Conta do Mais! o valor contratado cai na hora, rápido e sem burocracia. Para outros bancos e instituições financeiras o valor contratado cai em até 1 hora dentro do horário bancário. Caso o Mais! Empréstimo seja contratado fora do expediente bancário, a transação será agendada para o próximo dia útil."
Como eu pago as parcelas do meu mais empréstimo? ,"Mensalmente os boletos do seu empréstimo são gerados no App Mais!. No menu Mais! Empréstimo, acesse todos os detalhes das suas parcelas. Lembrando que a cobrança do Mais! Empréstimo é totalmente separado da fatura do Cartão Mais!."
Posso cancelar meu mais empréstimo? ,"Sim, até 07 dias depois da contratação fica disponível no App Mais!, a opção de cancelamento do empréstimo sem encargos de juros ou taxas. É cobrado apelas o IOF (Imposto sob Operações Financeiras). O cancelamento do seu Mais! Empréstimo é efetivado depois do pagamento do boleto de cancelamento e confirmação da devolução. A confirmação da devolução ocorre em até 03 dias úteis."
Como antecipar as parcelas do meu mais empréstimo? ,"Para antecipar as parcelas, basta entrar em contato com a nossa Central de Atendimento Credsystem."
"Alterações dos limites disponíveis do Mais empréstimo, porque isso acontece? ",Essas mudanças podem ocorrer quando reavaliamos seu perfil.
Qualquer cliente pode contratar o mais empréstimo? ,"Não, somente cliente elegível. O Mais! Empréstimo é um produto novo e, por isso, foi selecionado alguns clientes com base em critérios internos para receber a oferta do produto."
Em quanto tempo o mais empréstimo é aprovado? ,"Para os clientes que têm oferta do Mais! Empréstimo, a aprovação é na hora."
Como funciona o limite do mais empréstimo e do cartão mais?,"O limite do Mais! Empréstimo é totalmente separado do cartão Mais!, assim ao contratar o Mais! Empréstimo não compromete o limite do seu cartão Mais!."
Não conseguimos te ajudar? ,"Não respondemos a sua dúvida, fale com a Cleo no WhatsApp pelo número (xx) 999999999"
